123,社交兴趣,248,房产装修,114,行业偏好,社交娱乐,SNS
123,社交兴趣,249,旅游酒店,115,行业偏好,社交娱乐,SNS
123,社交兴趣,250,商业服务,116,行业偏好,社交娱乐,SNS
123,社交兴趣,251,汽车,117,行业偏好,社交娱乐,SNS
123,社交兴趣,252,生活服务,118,行业偏好,社交娱乐,SNS
123,社交兴趣,253,餐饮食品,120,行业偏好,社交娱乐,SNS
123,社交兴趣,254,服装服饰,121,行业偏好,社交娱乐,SNS
123,社交兴趣,255,母婴玩具,122,行业偏好,社交娱乐,SNS
123,社交兴趣,256,奢侈品,123,行业偏好,社交娱乐,SNS
123,社交兴趣,257,工农贸易,124,行业偏好,社交娱乐,SNS
123,社交兴趣,258,其他兴趣,100,行业偏好,社交娱乐,SNS
11,兴趣点,175049,孕妇T恤,2107,行业偏好,综合,跨行业行为偏好
11,兴趣点,175050,孕产妇营养品,2108,行业偏好,综合,跨行业行为偏好
11,兴趣点,175051,孕产妇奶粉,2109,行业偏好,综合,跨行业行为偏好
11,兴趣点,175052,阅读台灯(护眼灯/写字灯),2110,行业偏好,综合,跨行业行为偏好
11,兴趣点,175053,月饼,2111,行业偏好,综合,跨行业行为偏好
11,兴趣点,175054,圆珠笔,2112,行业偏好,综合,跨行业行为偏好
11,兴趣点,175055,园艺用品,2113,行业偏好,综合,跨行业行为偏好
